map_name,map_desc,lat,long
Asian | chinese | cost-2 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/shanghai-storm-alila-hotel-pecenongan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Shanghai Storm - Alila Hotel",-6.165766,106.826366
Asian | indonesia | cost-2 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/buzz-alila-hotel-pecenongan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Buzz - Alila Hotel",-6.165766,106.826366
Asian | chinese | cost-2 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/the-oriental-cafe-redtop-hotel-pecenongan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> The Oriental Cafe - REDTOP Hotel",-6.163519,106.827013
Asian | chinese | cost-2 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/liyen-restaurant-pecenongan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Liyen Restaurant",-6.163255556,106.8246694
Asian | indonesia | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/leeloo-siomay-gajah-mada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> LeeLoo Siomay",-6.161186111,106.8181528
Asian | bakmi | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/bakmi-gm-gajah-mada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi GM",-6.160816667,106.818375
Asian | bakmi | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/bakmi-naga-gajah-mada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Naga",-6.160741667,106.8187167
Asian | bakso | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/bakso-lapangan-tembak-senayan-gajah-mada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Lapangan Tembak Senayan",-6.160741667,106.8187167
Asian | sushi | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/rakuen-gajah-mada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Rakuen",-6.160741667,106.8187167
Asian | indonesia | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/streats-all-seasons-hotel-gajah-mada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Streats - All Seasons Hotel",-6.16015,106.817573
Asian | chinese | cost-2 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/angke-kota?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Angke",-6.160113889,106.8166194
Asian | indonesia | cost-2 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/collage-hotel-pullman-jakarta-central-park-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Collage - Hotel Pullman Jakarta Central Park",-6.180376,106.793834
Asian | sushi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/hachi-hachi-bistro-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Hachi Hachi Bistro",-6.179111111,106.7926778
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/sichuan-palace-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Sichuan Palace",-6.179091667,106.7926639
