map_name,map_desc,lat,long
Western | european | cost-2 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/collage-hotel-pullman-jakarta-central-park-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Collage - Hotel Pullman Jakarta Central Park",-6.180376,106.793834
Western | western | cost-2 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bunk-lounge-hotel-pullman-jakarta-central-park-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bunk Lounge - Hotel Pullman Jakarta Central Park",-6.179809,106.794123
Western | pizza | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/pizza-hut-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pizza Hut",-6.1791,106.7926861
Western | american | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/american-grill-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> American Grill",-6.179091667,106.7925417
Western | steak | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/american-grill-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> American Grill",-6.179091667,106.7925417
Western | pizza | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/popolamama-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Popolamama",-6.178833333,106.793
Western | american | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/fiesta-steak-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Fiesta Steak",-6.178811111,106.793
Western | american | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/fiesta-steak-1-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Fiesta Steak",-6.178622222,106.7917944
Western | pizza | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/phd-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> PHD",-6.178508333,106.789925
Western | american | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/vin-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> VIN+ Wine & Beyond",-6.178156,106.792375
Western | european | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/gelato-paradise-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Gelato Paradise",-6.177680556,106.7902611
Western | pizza | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/society-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Society+",-6.177436111,106.7908167
Western | steak | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/hogs-breath-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Hog's Breath Cafe",-6.177105556,106.7908389
Western | pizza | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/pizza-e-birra-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pizza E Birra",-6.177075,106.7902361
Western | american | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/kfc-1-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> KFC",-6.174066667,106.7835833
Western | western | cost-2 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/grand-tropic-restaurant-grand-tropic-hotel-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Grand Tropic Restaurant - Grand Tropic Hotel",-6.171489,106.787731
Western | western | cost-2 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/the-gallery-hotel-ciputra-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> The Gallery - Hotel Ciputra",-6.16866,106.787391
Western | steak | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/australian-steak-1-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Australian Steak",-6.168263889,106.7864528
Western | western | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/waroeng-mageerr-tomang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Waroeng Mageerr",-6.167833333,106.7968333
Western | pizza | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/pizza-hut-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pizza Hut",-6.167780556,106.7863472
Western | steak | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/waroeng-steak-shake-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Waroeng Steak & Shake",-6.165936111,106.795525
Western | steak | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/jojo-steak-bento-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Jojo Steak & Bento",-6.165777778,106.7958361
Western | western | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/jojo-steak-bento-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Jojo Steak & Bento",-6.165777778,106.7958361
Western | european | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/d-bursa-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> D' Bursa",-6.165652778,106.7958056
Western | steak | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/dunia-steak-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dunia Steak",-6.164305556,106.7927389
Western | western | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/visual-veggie-jelambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Visual Veggie",-6.148555556,106.7805472
Western | pizza | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/phd-jelambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> PHD",-6.146963889,106.7807917
Western | western | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/milk-me-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Milk Me",-6.362211,106.796358
Western | american | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/kfc-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> KFC",-6.345,106.8335
Western | steak | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/abi-steak-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> ABI Steak",-6.332066667,106.8078528
Western | pizza | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/star-5-pizza-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Star 5 Pizza",-6.330666667,106.8291667
Western | american | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/lfc-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> LFC",-6.315997222,106.81575
Western | american | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/cheese-chicken-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Cheese Chicken",-6.312172,106.838394
Western | pizza | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/phd-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> PHD",-6.310833333,106.8136667
Western | steak | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/kedai-kedaton-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Kedai Kedaton",-6.3042,106.8398278
Western | american | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/burger-gothic-pasar-minggu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Burger Gothic",-6.303903885,106.8505228
Western | american | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/burger-bakar-qebul-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Burger Bakar Qebul",-6.303556,106.8465
Western | european | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/mom-s-pizza-cipinang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Mom's Pizza",-6.228,106.884167
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/mom-s-pizza-cipinang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Mom's Pizza",-6.228,106.884167
Western | pizza | cost-1 | Kota Jakarta Timur,"<a href=""https://www.zomato.com/jakarta/phd-jatinegara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> PHD",-6.223167,106.885167
