id,name,cuisine,locality,lat,long,avg_rating,currency,cost_for_two,url
7419561,"Tahu Gejrot Madu Hans, Vista Resto",streetfood,Benda,0,0,0,IDR,18000,https://www.zomato.com/jakarta/tahu-gejrot-madu-hans-vista-resto-benda?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7423477,Makaroni Ngehe,streetfood,Gandaria,-6.245972222,106.7844389,2.5,IDR,20000,https://www.zomato.com/jakarta/makaroni-ngehe-gandaria?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7425936,Makaroni Ngehe,streetfood,Meruya,-6.197377778,106.7537833,3.2,IDR,20000,https://www.zomato.com/jakarta/makaroni-ngehe-meruya?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7409002,Cireng Keraton,streetfood,Grogol,-6.168383333,106.7865667,3.3,IDR,20000,https://www.zomato.com/jakarta/cireng-keraton-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7425799,Cireng Keraton,streetfood,Pantai Indah Kapuk,0,0,3.4,IDR,20000,https://www.zomato.com/jakarta/cireng-keraton-pantai-indah-kapuk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7422073,Cireng Keraton,streetfood,Bogor Utara,-6.484522222,106.8422,3,IDR,20000,https://www.zomato.com/jakarta/cireng-keraton-bogor-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7413250,Suka Hati,streetfood,Serpong,-6.303905556,106.6848056,3.3,IDR,20000,https://www.zomato.com/jakarta/suka-hati-serpong?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415580,Pisang Goreng Pasir Pisangku,streetfood,Beji,-6.359166667,106.8326667,2.6,IDR,20000,https://www.zomato.com/jakarta/pisang-goreng-pasir-pisangku-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7423578,Bubur Ayam Salisa 151,streetfood,Kuningan,0,0,0,IDR,20000,https://www.zomato.com/jakarta/bubur-ayam-salisa-151-kuningan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7422858,Warkop Babang Ade,streetfood,Tebet,-6.237264,106.856695,0,IDR,20000,https://www.zomato.com/jakarta/warkop-babang-ade-1-tebet?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18266430,Onde-onde Pak Kumis,streetfood,Cipinang,-6.2194058,106.8868785,0,IDR,20000,https://www.zomato.com/jakarta/onde-onde-pak-kumis-cipinang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7407554,Verina Risoles,streetfood,Sunter,-6.137833333,106.8706667,0,IDR,20000,https://www.zomato.com/jakarta/verina-risoles-sunter?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7408021,Cireng Keraton,streetfood,Cibubur,-6.369611111,106.8942111,0,IDR,20000,https://www.zomato.com/jakarta/cireng-keraton-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415410,Roti Maryam Batalyon,streetfood,Cimanggis,-6.354833333,106.8463333,0,IDR,20000,https://www.zomato.com/jakarta/roti-maryam-batalyon-cimanggis?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18082166,DRY Food House,streetfood,Bekasi Selatan,0,0,2.4,IDR,200000,https://www.zomato.com/jakarta/dry-food-house-bekasi-selatan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18061447,Yoghurt Cisangkuy,streetfood,Cibubur,-6.377686111,106.9584722,2.7,IDR,200000,https://www.zomato.com/jakarta/yoghurt-cisangkuy-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18264719,Teras Toea Moeda,streetfood,Serpong,-6.280452,106.662003,0,IDR,200000,https://www.zomato.com/jakarta/teras-toea-moeda-serpong-tangerang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420734,Kerang Kiloan Pak Rudi,streetfood,Blok M,-6.235761,106.795935,3.4,IDR,150000,https://www.zomato.com/jakarta/kerang-kiloan-pak-rudi-blok-m?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
