id,name,cuisine,type,locality,lat,long,avg_rating,currency,cost_for_two,url
7408856,Bento Steak.Co,steak,western,Cijantung,-6.312666667,106.8616667,2.6,IDR,100000,https://www.zomato.com/jakarta/bento-steak-co-cijantung?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7426216,Mahe Steak,steak,western,Cijantung,-6.312166667,106.8621667,0,IDR,80000,https://www.zomato.com/jakarta/mahe-steak-cijantung?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7426197,Kedai Kedaton,steak,western,Jagakarsa,-6.3042,106.8398278,0,IDR,80000,https://www.zomato.com/jakarta/kedai-kedaton-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7421252,osakaMOO,steak,western,Serpong,-6.302266667,106.6548306,3.9,IDR,400000,https://www.zomato.com/jakarta/osakamoo-serpong?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420005,Meat Me Steak House & Butchery,steak,western,Serpong,-6.301852778,106.6541056,3.4,IDR,350000,https://www.zomato.com/meatmethebreeze?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7413268,Waroeng Steak & Shake,steak,western,Ciputat Timur,-6.295644444,106.7652583,3.5,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-ciputat-timur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412622,Holycow! Steak Hotel by Holycow! TKP BSD,steak,western,Serpong,-6.295630556,106.666,3.9,IDR,300000,https://www.zomato.com/jakarta/holycow-steak-hotel-by-holycow-tkp-bsd-serpong?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412966,Gandy Bistro,steak,western,Serpong,-6.295527778,106.6672833,3.4,IDR,500000,https://www.zomato.com/jakarta/gandy-bistro-serpong?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7424878,Holycow! STEAKHOUSE by Chef Afit,steak,western,Cilandak,-6.29182,106.799787,4.3,IDR,380000,https://www.zomato.com/jakarta/holycow-steakhouse-by-chef-afit-cilandak?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7424614,Bob's Steak,steak,western,Serpong Utara,-6.287119444,106.66455,0,IDR,100000,https://www.zomato.com/jakarta/bobs-steak-serpong-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7424820,Obonk Steak & Ribs,steak,western,Pinang Ranti,-6.286661111,106.9205556,0,IDR,80000,https://www.zomato.com/jakarta/obonk-steak-ribs-pinang-ranti?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7424796,Bento Steak.Co,steak,western,Pondok Gede,-6.283,106.9116667,0,IDR,100000,https://www.zomato.com/jakarta/bento-steak-co-pondok-gede?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7402584,Bodega's Sportsbar,steak,western,Pondok Indah,-6.2825,106.7913333,3.1,IDR,350000,https://www.zomato.com/jakarta/bodega-s-sportsbar-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7405593,Abuba Steak,steak,western,Fatmawati,-6.278271,106.807567,4,IDR,300000,https://www.zomato.com/jakarta/abuba-steak-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420538,Gandy Steak House,steak,western,Pondok Indah,-6.272943,106.783975,3,IDR,400000,https://www.zomato.com/jakarta/gandy-steak-house-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7423677,Waroeng Steak & Shake,steak,western,Bintaro,-6.272080556,106.7471861,2.7,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-bintaro?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7416846,Waroeng Steak & Shake,steak,western,Pondok Gede,-6.272027778,106.9122167,3,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-pondok-gede?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7403483,Holycow! Steak Hotel by Holycow! TKP KEMANG,steak,western,Kemang,-6.271641,106.815313,3.9,IDR,300000,https://www.zomato.com/jakarta/holycow-steak-hotel-by-holycow-tkp-kemang-kemang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7413922,Abuba Steak,steak,western,Pondok Aren,-6.271455556,106.7117389,3.3,IDR,300000,https://www.zomato.com/jakarta/abuba-steak-pondok-aren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7419061,Holycow! STEAKHOUSE by Chef Afit,steak,western,Pondok Aren,-6.271002778,106.72895,4.2,IDR,380000,https://www.zomato.com/jakarta/holycow-steakhouse-by-chef-afit-pondok-aren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412636,Pepper Mill,steak,western,Serpong Utara,-6.268833333,106.657,2.6,IDR,70000,https://www.zomato.com/jakarta/pepper-mill-serpong-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7410836,VIN+ Wine & Beyond,steak,western,Pondok Indah,-6.2675,106.784,3.6,IDR,300000,https://www.zomato.com/jakarta/vin-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412685,Steak Moen - Moen,steak,western,Serpong Utara,-6.266130556,106.6553639,2.5,IDR,50000,https://www.zomato.com/jakarta/steak-moen-moen-serpong-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7409697,Outback Steakhouse,steak,western,Pondok Indah,-6.265072222,106.7839972,4.3,IDR,500000,https://www.zomato.com/jakarta/outback-steakhouse-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7403315,VIN+ Wine & Beyond,steak,western,Kemang,-6.265045,106.816171,4,IDR,300000,https://www.zomato.com/jakarta/vin-kemang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7410083,American Grill,steak,western,Pondok Indah,-6.265025,106.7838583,2.5,IDR,400000,https://www.zomato.com/jakarta/american-grill-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7407719,Halla Steak,steak,western,Cililitan,-6.262666667,106.8658333,0,IDR,100000,https://www.zomato.com/jakarta/halla-steak-cililitan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7405002,MBG,steak,western,Bintaro,-6.262608333,106.7665556,3.4,IDR,100000,https://www.zomato.com/jakarta/mbg-bintaro?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417279,Food Court Cafe Kalimas,steak,western,Bekasi Timur,-6.259080556,107.0152972,0,IDR,80000,https://www.zomato.com/jakarta/food-court-cafe-kalimas-bekasi-timur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7402703,Holycow! Steak Hotel by Holycow! TKP RADAL,steak,western,Pondok Indah,-6.258863889,106.7893833,4,IDR,300000,https://www.zomato.com/jakarta/holycow-steak-hotel-by-holycow-tkp-radal-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7401573,Meat Me Steak House & Butchery,steak,western,Kemang,-6.258634,106.808717,3.8,IDR,350000,https://www.zomato.com/meatmelippomallkemang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7426031,Bento Steak.Co,steak,western,Kalibata,-6.256666667,106.8551667,2.7,IDR,100000,https://www.zomato.com/jakarta/bento-steak-co-kalibata?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417612,Double U Steak,steak,western,Bekasi Selatan,-6.255725,106.9696583,4,IDR,300000,https://www.zomato.com/jakarta/double-u-steak-bekasi-selatan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7416688,Obonk Steak & Ribs,steak,western,Bekasi Selatan,-6.254,106.9898333,0,IDR,80000,https://www.zomato.com/jakarta/obonk-steak-ribs-bekasi-selatan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417092,Tasty,steak,western,Bekasi Selatan,-6.254,106.9896667,0,IDR,80000,https://www.zomato.com/jakarta/tasty-bekasi-selatan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7416772,Steak KK 'Ad',steak,western,Bekasi Selatan,-6.254,106.9896667,0,IDR,110000,https://www.zomato.com/jakarta/steak-kk-ad-1-bekasi-selatan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18238980,Lazy Cow,steak,western,Serpong,-6.252360727,106.6257427,0,IDR,350000,https://www.zomato.com/jakarta/lazy-cow-serpong-tangerang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417292,Obonk Steak & Ribs,steak,western,Bekasi Timur,-6.250977778,107.00035,0,IDR,80000,https://www.zomato.com/jakarta/obonk-steak-ribs-bekasi-timur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
17957637,The HolyRibs,steak,western,Melawai,-6.250497222,106.7981861,4.4,IDR,300000,https://www.zomato.com/jakarta/the-holyribs-melawai?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7416161,Pepper Express,steak,western,Bekasi Selatan,-6.2495,106.9926667,0,IDR,80000,https://www.zomato.com/jakarta/pepper-express-bekasi-selatan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420381,Will's Steak,steak,western,Bekasi Selatan,-6.2495,106.9841667,3.4,IDR,350000,https://www.zomato.com/jakarta/wills-steak-bekasi-selatan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7416289,Halla Steak,steak,western,Bekasi Selatan,-6.249333333,106.9925,0,IDR,100000,https://www.zomato.com/jakarta/halla-steak-bekasi-selatan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7408071,Waroeng Steak & Shake,steak,western,Kalimalang,-6.249133333,106.9410861,2.9,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7410201,Torry Coffee,steak,western,Kalimalang,-6.248169444,106.9146056,3.4,IDR,100000,https://www.zomato.com/jakarta/torry-coffee-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7423906,Holycow! STEAKHOUSE by Chef Afit,steak,western,Kalimalang,-6.247979,106.931829,4.1,IDR,380000,https://www.zomato.com/jakarta/holycow-steakhouse-by-chef-afit-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7402313,Lokananta,steak,western,Melawai,-6.2475,106.8011667,3.7,IDR,400000,https://www.zomato.com/jakarta/lokananta-melawai?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7416156,Steak KK 'Ad',steak,western,Bekasi Selatan,-6.246833333,106.9921667,0,IDR,110000,https://www.zomato.com/jakarta/steak-kk-ad-bekasi-selatan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417318,Waroeng Steak & Shake,steak,western,Bekasi Timur,-6.245405556,107.0075222,3.1,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-bekasi-timur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7413884,Mamoo,steak,western,Ciledug,-6.245038889,106.7005222,2.5,IDR,50000,https://www.zomato.com/jakarta/mamoo-ciledug?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420245,Steak and Shake,steak,western,Duren Sawit,-6.244675,106.9480667,0,IDR,70000,https://www.zomato.com/jakarta/steak-and-shake-duren-sawit?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7419861,Bento Steak.Co,steak,western,Melawai,-6.244333333,106.8013333,0,IDR,100000,https://www.zomato.com/jakarta/bento-steak-co-melawai?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7414783,Tony Roma's,steak,western,Gandaria,-6.244209,106.783329,4.4,IDR,850000,https://www.zomato.com/jakarta/tony-roma-s-gandaria?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7403618,White Hunter,steak,western,Gandaria,-6.244209,106.783329,3.8,IDR,400000,https://www.zomato.com/jakarta/white-hunter-gandaria?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
